"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-11","67","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-12","68","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-13","68","86"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-14","66","84"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-15","66","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-16","64","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-17","65","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-18","60","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-19","58","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-20","61","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-21","61","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-22","61","78"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-23","60","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-24","60","78"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-25","61","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-26","64","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-27","67","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-28","68","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-29","67","88"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-30","68","88"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-31","67","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-01","65","81"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-02","65","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-03","63","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-04","61","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-05","58","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-06","58","72"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-07","57","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-08","58","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-09","59","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-10","59","78"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-11","56","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-12","56","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-13","50","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-14","51","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-15","54","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-16","53","65"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-17","54","65"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-18","51","67"
